id;session_id;user_id;title_phrase;heartbeat_verse;observation;core_insight_category;core_insight_note;scholars_note;action_plan;cool_down_note;created_at;updated_at
24b5ac06-3a02-43e4-b960-081289a3a864;83de0b7f-6899-44d7-9b07-9cdd7890a4f4;d4bed1d6-7cb8-4d34-b1ad-cfe8b8a63505;給我鵝子的叮嚀;"「你要全心信靠耶和華， 不可倚靠自己的悟性。」
‭‭箴言‬ ‭3‬:‭5‬ ‭CCB‬‬
https://bible.com/bible/1392/pro.3.5.CCB";所羅門;PROMISE;不可倚靠自己;無;跟神禱告;;2026-01-27 14:56:13.100178+00;2026-01-27 14:58:37.241749+00
5a3a3ae7-a790-4b15-a494-9f7cd838bf80;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;04c417ea-1ed3-4669-b28a-9fb671ef4e6e;從灰燼中重生;這是我今年最需要的提醒;注意到人物的轉變過程很戲劇化;COMMAND;這個發現讓我重新思考信仰;注釋書提到當時的文化背景...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:37.419001+00
7003be14-3261-436a-b486-be5c462b061e;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;09f14429-a11f-4c51-a78f-6b50e3d3d1a7;信心的飛躍;這是我今年最需要的提醒;看到群眾的反應和耶穌形成對比;;;;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
b43e10b4-b269-4f7b-84ba-7c2a42b2ab05;83de0b7f-6899-44d7-9b07-9cdd7890a4f4;ad753017-560b-4367-b13c-0fcbe3faaf85;不要忘記父親的教誨;神的慈愛和誠實如項鍊係在脖子上;兒子跟父親的關係：神的慈愛與誠實，還有命令，會使我們長久並且有平安。;;"神命令我們不要忘記祂的教誨，並且要把祂的慈愛與誠實，謹慎地保護在我們的頸上還有心上。

這裡有一個警戒：我們很有可能會疏忽、很有可能會忘記神的慈愛，或者是浪費、破壞掉它，就像一條脆弱的項鍊，所以我們要好好保護。

此外，我對神有一個新的認識：神是一位非常愛我們的父親。";馬唐納注釋提到，一般來說順服父母的話會活得更長，這也應驗了誡命的第五誡：就是要孝敬父母，就能得長壽。;"我決定要更謹慎地保護神給我的愛，以及祂的慈愛與誠信。
";;2026-01-27 14:56:05.51207+00;2026-01-27 14:59:48.811535+00
1db9ed4c-f4a0-43a4-99ac-7a891e5e0e72;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;68d11cda-5b3f-404b-9672-908ce4d7e17a;愛的冒險旅程;第五節讓我心跳加速！;看到群眾的反應和耶穌形成對比;;;;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
ce1dee66-185d-435f-93b2-05085a22c031;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;fab578f3-d63d-42ac-acbe-87c85d6ae4b6;愛的冒險旅程;這句話深深觸動我的心;發現神的信實貫穿整個故事;WARNING;原來神的心意是這樣的;學者們對這段經文有不同的解讀...;這週每天早起10分鐘禱告;今天的查經讓我很感動，想為家人禱告;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
b87e81c2-4573-464f-8aa9-f43dd2d6d63f;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;edcbee11-78ba-429e-99d3-2a1b661a0e90;恩典無限供應;這句話深深觸動我的心;看到了一個勇敢的人面對困難;WARNING;這個發現讓我重新思考信仰;學者們對這段經文有不同的解讀...;實踐一次服務他人的行動;感謝小組成員的分享！;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
ce206517-36e1-4f5f-ac55-cedb235069b2;cb123728-bd4f-4dd4-ad7c-68881156e6e7;586de844-a9d6-4b70-88de-2cf9d13aea5d;sdalkfjlakjflkasjflkasdj;salkfjaslkfjaslkjflakjasdkflkadsjfl;ldkfjlaskdf;;aslkfjlaksjflskdajflksadjfklsdajfklsdajfklsdaj;asdflkjsalkfjsalkfjsaldkfsaldkfd;asfsadfsadf;;2026-01-27 10:39:19.120415+00;2026-01-27 10:39:31.734984+00
17a5901b-a043-4199-a1bf-115698b9dd9f;d7bd7da5-8ef2-4c06-becf-01bc80a88916;e06afe91-69d9-4e9c-838c-9e4561a84b29;信心的飛躍;第五節讓我心跳加速！;看到群眾的反應和耶穌形成對比;WARNING;跟我以前理解的完全不同;學者們對這段經文有不同的解讀...;這週每天早起10分鐘禱告;感謝小組成員的分享！;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
8d0e545d-3a23-4150-b200-6e3a8529659b;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;4de5c612-7ce1-438f-af22-322508c86dfc;從灰燼中重生;這句話深深觸動我的心;注意到人物的轉變過程很戲劇化;GOD_ATTRIBUTE;跟我以前理解的完全不同;注釋書提到當時的文化背景...;這週每天早起10分鐘禱告;感謝小組成員的分享！;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:18.663561+00
60fe3634-1790-4b15-8211-c42e66c50df9;d7bd7da5-8ef2-4c06-becf-01bc80a88916;a4095876-58c1-45e3-b2de-c1b38b2c7d6a;恩典無限供應;這句話深深觸動我的心;看到群眾的反應和耶穌形成對比;WARNING;這個發現讓我重新思考信仰;學者們對這段經文有不同的解讀...;找一個朋友分享這段經文;下週想繼續深入研究這個主題;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
15023fcf-c91f-49cd-bc5d-19c85de5f16e;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;81992839-552c-4d18-87d6-094af07fdf42;信心的飛躍;感覺神在直接對我說話;看到了一個勇敢的人面對困難;PROMISE;這個發現讓我重新思考信仰;學者們對這段經文有不同的解讀...;實踐一次服務他人的行動;下週想繼續深入研究這個主題;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
2acec3c0-db0a-4615-a748-10b8f42e6ce3;d7bd7da5-8ef2-4c06-becf-01bc80a88916;bc6a4e3c-b503-4417-85c5-c18b7bfd558f;信心的飛躍;這句話深深觸動我的心;看到了一個勇敢的人面對困難;WARNING;Feeling the burn on this verse! 💪;注釋書提到當時的文化背景...;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
16f646d1-5f3a-4f72-85c1-756798b118cc;d7bd7da5-8ef2-4c06-becf-01bc80a88916;a2d4fd5a-dcc7-40b4-87f2-d4a464c6c2d9;勇氣的代價;第五節讓我心跳加速！;看到群眾的反應和耶穌形成對比;GOD_ATTRIBUTE;這個發現讓我重新思考信仰;注釋書提到當時的文化背景...;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
70d6b073-183d-4caa-be7a-3aae34db45f2;d7bd7da5-8ef2-4c06-becf-01bc80a88916;fe9beb70-5b2c-4ae1-a04e-bbff51ac25aa;逆轉勝的故事;這是我今年最需要的提醒;注意到人物的轉變過程很戲劇化;PROMISE;原來神的心意是這樣的;ChatGPT 說這段經文有三個重點...;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
84405d17-139f-4243-82ff-efadd3c8d286;d7bd7da5-8ef2-4c06-becf-01bc80a88916;992d716e-5ef0-44cd-97a7-3b984f7980ae;勇氣的代價;這句話深深觸動我的心;發現神的信實貫穿整個故事;GOD_ATTRIBUTE;Feeling the burn on this verse! 💪;ChatGPT 說這段經文有三個重點...;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:00.008925+00
ce512f27-5ab8-4856-9c04-204332b02250;d7bd7da5-8ef2-4c06-becf-01bc80a88916;e5dc424b-cf30-4e39-9ec7-e4c9e41aa46c;從灰燼中重生;這是我今年最需要的提醒;發現神的信實貫穿整個故事;;;;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
dae88412-9ccd-47b9-93c1-12ac50d0cf0c;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;feb72f07-9ae5-4ccc-9954-fe19aac46319;逆轉勝的故事;第五節讓我心跳加速！;看到了一個勇敢的人面對困難;GOD_ATTRIBUTE;原來神的心意是這樣的;ChatGPT 說這段經文有三個重點...;實踐一次服務他人的行動;下週想繼續深入研究這個主題;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
7a9a25ae-afa0-4678-9c51-70e3085b0a7e;d7bd7da5-8ef2-4c06-becf-01bc80a88916;0142e41c-d78f-44d6-b734-ffc317ed43b1;從灰燼中重生;感覺神在直接對我說話;看到群眾的反應和耶穌形成對比;COMMAND;跟我以前理解的完全不同;注釋書提到當時的文化背景...;這週每天早起10分鐘禱告;下週想繼續深入研究這個主題;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:01.813985+00
1aa16f40-95d5-49e1-a25c-08db5ee83bec;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;b492abe1-4797-4c35-8ab4-484f46920eb7;信心的飛躍;第五節讓我心跳加速！;注意到人物的轉變過程很戲劇化;PROMISE;原來神的心意是這樣的;注釋書提到當時的文化背景...;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:27.869061+00
631c4843-1914-4ba1-9342-a483065b6d4d;7bd622e6-4e61-4167-96e9-067c0559b19a;99c0246f-f895-450e-93ff-0e0c097f2d0f;恩典無限供應;這句話深深觸動我的心;看到了一個勇敢的人面對困難;;;;;;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
9b812252-acf7-4b2f-8c8c-c4a8f15033b4;7bd622e6-4e61-4167-96e9-067c0559b19a;8683ec7c-57e0-4d8a-a2fb-30259df2c882;信心的飛躍;第五節讓我心跳加速！;看到了一個勇敢的人面對困難;WARNING;Feeling the burn on this verse! 💪;ChatGPT 說這段經文有三個重點...;寫一封感謝信給神;感謝小組成員的分享！;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
f6c3acd6-330f-427a-97ed-a424f831c3f4;d7bd7da5-8ef2-4c06-becf-01bc80a88916;98491877-8037-4671-b9ca-0fcf4485ed27;愛的冒險旅程;感覺神在直接對我說話;注意到人物的轉變過程很戲劇化;PROMISE;這個發現讓我重新思考信仰;根據 Google 搜尋，這段經文的歷史背景是...;;;2026-01-27 16:08:43.573766+00;2026-01-27 16:09:01.813985+00
f25c04ec-44d4-47d3-aaa2-b12ea1bf4d20;d7bd7da5-8ef2-4c06-becf-01bc80a88916;a740a270-6efc-41c5-b929-9a9a41b3bdd7;逆轉勝的故事;這句話深深觸動我的心;注意到人物的轉變過程很戲劇化;;;;;;2026-01-27 16:08:43.573766+00;2026-01-27 16:09:01.813985+00
40fc1a6b-8e70-4833-88e8-634d66eaa19e;d7bd7da5-8ef2-4c06-becf-01bc80a88916;20786583-5281-44aa-9630-94411563a4a8;從灰燼中重生;這句話深深觸動我的心;發現神的信實貫穿整個故事;;;;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:01.813985+00
e4746657-d9a2-431f-8359-757035f8327a;d7bd7da5-8ef2-4c06-becf-01bc80a88916;2b413668-02ef-4972-9c55-931c9808a1c6;勇氣的代價;這句話深深觸動我的心;看到了一個勇敢的人面對困難;GOD_ATTRIBUTE;跟我以前理解的完全不同;根據 Google 搜尋，這段經文的歷史背景是...;這週每天早起10分鐘禱告;今天的查經讓我很感動，想為家人禱告;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
0cdfc591-2c7e-47f6-93c6-4f7395315988;d7bd7da5-8ef2-4c06-becf-01bc80a88916;189e29b8-738c-41ea-b46d-98cfb6f4a9e5;從灰燼中重生;第五節讓我心跳加速！;發現神的信實貫穿整個故事;WARNING;Feeling the burn on this verse! 💪;ChatGPT 說這段經文有三個重點...;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
f17ccd95-38e4-4e48-b67e-eb62d15ab17d;d7bd7da5-8ef2-4c06-becf-01bc80a88916;4cef7069-91ee-4a3f-acb6-fb7634d380ea;逆轉勝的故事;這句話深深觸動我的心;看到群眾的反應和耶穌形成對比;COMMAND;這個發現讓我重新思考信仰;ChatGPT 說這段經文有三個重點...;;;2026-01-27 16:08:43.573766+00;2026-01-27 16:09:06.061123+00
3653e5c6-b834-4cdf-8bfc-ffe4f8421563;7bd622e6-4e61-4167-96e9-067c0559b19a;0217cb80-69a2-43e3-acac-43d8a43a03dc;愛的冒險旅程;第五節讓我心跳加速！;發現神的信實貫穿整個故事;COMMAND;Feeling the burn on this verse! 💪;注釋書提到當時的文化背景...;找一個朋友分享這段經文;發現自己需要更多安靜的時間;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
b7f838dc-339a-442d-bb87-15bae8ee8961;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;dc696c02-eab9-4b23-871c-cc61eda3f128;信心的飛躍;這是我今年最需要的提醒;看到群眾的反應和耶穌形成對比;;;;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
b07f6d05-adb4-4d76-946e-fd039a202011;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;dd879d20-5871-4c30-8022-89eb6e818010;逆轉勝的故事;第五節讓我心跳加速！;看到群眾的反應和耶穌形成對比;PROMISE;這個發現讓我重新思考信仰;注釋書提到當時的文化背景...;寫一封感謝信給神;下週想繼續深入研究這個主題;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
0f7d20ae-d4ff-49ae-9108-7e60f9d0feb5;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;a695ae4e-ce48-489b-9165-bf8efa47fdab;信心的飛躍;感覺神在直接對我說話;發現神的信實貫穿整個故事;;;;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
d2d0251d-0e15-455e-a0b4-6e1875ad47f2;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;0aeef28b-c118-42b1-b4bb-a9d135b6b85c;恩典無限供應;感覺神在直接對我說話;看到群眾的反應和耶穌形成對比;WARNING;跟我以前理解的完全不同;注釋書提到當時的文化背景...;實踐一次服務他人的行動;今天的查經讓我很感動，想為家人禱告;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
52049c09-f591-4dc9-b042-04ceda10d856;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;22734d48-14b5-4644-b3fd-fea2188fff5d;恩典無限供應;這句話深深觸動我的心;看到群眾的反應和耶穌形成對比;WARNING;跟我以前理解的完全不同;學者們對這段經文有不同的解讀...;這週每天早起10分鐘禱告;發現自己需要更多安靜的時間;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
2c296d1a-a8d2-4f89-8d3c-87665726c12c;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;df254c99-78b5-45ff-9cb2-1eb4c9e1b522;從灰燼中重生;這句話深深觸動我的心;發現神的信實貫穿整個故事;GOD_ATTRIBUTE;跟我以前理解的完全不同;注釋書提到當時的文化背景...;實踐一次服務他人的行動;下週想繼續深入研究這個主題;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
92956328-5b08-46c9-834f-089df1636e12;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;adb21ba9-25ff-4cd5-af64-5c21fa7e2cb9;恩典無限供應;感覺神在直接對我說話;看到了一個勇敢的人面對困難;WARNING;這個發現讓我重新思考信仰;根據 Google 搜尋，這段經文的歷史背景是...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
8ad4e9f0-609a-4612-8471-299b983ff4c1;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;26822d29-2871-47d3-b635-39725bffa1b3;逆轉勝的故事;感覺神在直接對我說話;發現神的信實貫穿整個故事;PROMISE;這個發現讓我重新思考信仰;根據 Google 搜尋，這段經文的歷史背景是...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
54fdddb5-3967-4d75-9ea9-4f91b15995c5;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;81e23d0d-1f41-44ae-9101-a4b5df4b372b;勇氣的代價;這是我今年最需要的提醒;看到群眾的反應和耶穌形成對比;GOD_ATTRIBUTE;原來神的心意是這樣的;注釋書提到當時的文化背景...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:29:03.363308+00
0f73c3fa-43da-4992-9f0a-383e190913d8;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;aacdccaf-d456-4e8b-9e5b-471a322f03f0;恩典無限供應;這句話深深觸動我的心;看到了一個勇敢的人面對困難;COMMAND;Feeling the burn on this verse! 💪;注釋書提到當時的文化背景...;這週每天早起10分鐘禱告;感謝小組成員的分享！;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
07892d11-ee26-4fc8-bcc7-9ec7617d94a3;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;9c511f30-9690-4ee1-8fe2-1333ddafbb98;信心的飛躍;感覺神在直接對我說話;注意到人物的轉變過程很戲劇化;;;;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
8acbf30d-246b-4d2c-bfa3-5f9ae5b5101f;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;1b541f11-9fe7-4752-bcef-725d575c2946;逆轉勝的故事;第五節讓我心跳加速！;發現神的信實貫穿整個故事;PROMISE;跟我以前理解的完全不同;ChatGPT 說這段經文有三個重點...;這週每天早起10分鐘禱告;感謝小組成員的分享！;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:20.797158+00
c6a1af8e-4d0c-425a-ac48-7201b7caeedf;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;ae0f587b-bac7-481b-ae7e-0cfdc64a66d0;恩典無限供應;這句話深深觸動我的心;注意到人物的轉變過程很戲劇化;GOD_ATTRIBUTE;原來神的心意是這樣的;ChatGPT 說這段經文有三個重點...;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
896323bc-4b07-4ebe-9142-5945aa0f7fa0;7bd622e6-4e61-4167-96e9-067c0559b19a;efe90a89-15e6-4afd-bf14-fbda9f6a4539;從灰燼中重生;感覺神在直接對我說話;發現神的信實貫穿整個故事;GOD_ATTRIBUTE;原來神的心意是這樣的;學者們對這段經文有不同的解讀...;找一個朋友分享這段經文;今天的查經讓我很感動，想為家人禱告;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
87e9ea9a-ebd7-4343-93ac-51aaaa29b79e;7bd622e6-4e61-4167-96e9-067c0559b19a;80bdf398-cf0f-4fe5-b69b-416eb3ef3534;逆轉勝的故事;這是我今年最需要的提醒;注意到人物的轉變過程很戲劇化;WARNING;這個發現讓我重新思考信仰;ChatGPT 說這段經文有三個重點...;這週每天早起10分鐘禱告;發現自己需要更多安靜的時間;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:30.693829+00
b0f4520c-a0fb-4ac5-a895-141df9e0d72e;7bd622e6-4e61-4167-96e9-067c0559b19a;927d82fe-106b-41d0-adf9-63135d155691;愛的冒險旅程;感覺神在直接對我說話;發現神的信實貫穿整個故事;;;;;;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:30.693829+00
59fe439f-9ab7-4efa-b362-be041c48a5f0;d7bd7da5-8ef2-4c06-becf-01bc80a88916;838c0ecf-5c57-4772-9a78-b06c8cee76dd;從灰燼中重生;感覺神在直接對我說話;看到了一個勇敢的人面對困難;;;;;;2026-01-27 16:08:41.479529+00;2026-01-27 16:09:06.061123+00
e88cf313-b4dc-4518-9dea-972dc26fb23f;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;e9942726-a2e3-4850-8e00-1d15a1ae35aa;逆轉勝的故事;這句話深深觸動我的心;看到群眾的反應和耶穌形成對比;PROMISE;跟我以前理解的完全不同;學者們對這段經文有不同的解讀...;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:16.031481+00
10e6762c-9297-435b-983b-b768a760e371;7bd622e6-4e61-4167-96e9-067c0559b19a;3ececca1-778a-45bb-9460-6083857d1afd;從灰燼中重生;這句話深深觸動我的心;注意到人物的轉變過程很戲劇化;WARNING;跟我以前理解的完全不同;ChatGPT 說這段經文有三個重點...;寫一封感謝信給神;今天的查經讓我很感動，想為家人禱告;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
ecd1e5d9-dd7a-49c8-8e53-d23d9dddc9e9;03ad48a2-45a5-4f90-8e21-b263afc52cf1;65ac1680-58d1-471d-9800-24e1d5a59ee2;恩典無限供應;這是我今年最需要的提醒;看到了一個勇敢的人面對困難;GOD_ATTRIBUTE;跟我以前理解的完全不同;注釋書提到當時的文化背景...;;;2026-01-27 17:37:11.385382+00;2026-01-27 17:37:12.888571+00
b41d6fba-4051-4157-aa04-585fbd2b5e09;7bd622e6-4e61-4167-96e9-067c0559b19a;2548faf3-efe5-409f-ab5b-14433ee462f6;愛的冒險旅程;這句話深深觸動我的心;看到群眾的反應和耶穌形成對比;WARNING;Feeling the burn on this verse! 💪;注釋書提到當時的文化背景...;實踐一次服務他人的行動;感謝小組成員的分享！;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
a3cc25ba-6040-4b51-8cc0-ffe5c066d676;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;d2deb071-5858-45a6-a56b-2c231123e1fb;從灰燼中重生;這是我今年最需要的提醒;看到群眾的反應和耶穌形成對比;WARNING;Feeling the burn on this verse! 💪;ChatGPT 說這段經文有三個重點...;實踐一次服務他人的行動;下週想繼續深入研究這個主題;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
4a0aac0a-6141-4d39-85a7-7cbb27d1eaed;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;4c8693df-7dcc-4a25-8b53-912e8f200a1d;恩典無限供應;這是我今年最需要的提醒;看到了一個勇敢的人面對困難;;;;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
faeadbcd-39ac-4c7b-9ba7-0da9777d75bb;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;0214f12c-7155-44bb-8b7f-1df6687f6f94;勇氣的代價;感覺神在直接對我說話;發現神的信實貫穿整個故事;GOD_ATTRIBUTE;Feeling the burn on this verse! 💪;ChatGPT 說這段經文有三個重點...;實踐一次服務他人的行動;今天的查經讓我很感動，想為家人禱告;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
7eaa9019-160e-4680-8e91-c991427ec140;7bd622e6-4e61-4167-96e9-067c0559b19a;6c716118-c408-4e1b-8beb-9710a8e9d2c2;信心的飛躍;感覺神在直接對我說話;看到群眾的反應和耶穌形成對比;COMMAND;原來神的心意是這樣的;注釋書提到當時的文化背景...;找一個朋友分享這段經文;發現自己需要更多安靜的時間;2026-01-27 17:08:21.94157+00;2026-01-27 17:08:32.191049+00
0623c575-bb19-4f33-8839-bd719e192a5d;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;85d2a286-f483-43bf-a9e7-a6cbd899d0c5;信心的飛躍;第五節讓我心跳加速！;注意到人物的轉變過程很戲劇化;GOD_ATTRIBUTE;這個發現讓我重新思考信仰;注釋書提到當時的文化背景...;實踐一次服務他人的行動;感謝小組成員的分享！;2026-01-27 15:28:27.530229+00;2026-01-27 15:28:53.703465+00
e3f8dde4-91bc-40ac-ad72-7c2695afc484;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;e4868ce4-8b46-4121-a71e-42f8fe89a9a8;愛的冒險旅程;這句話深深觸動我的心;發現神的信實貫穿整個故事;;;;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
6ad6ca27-e240-44db-affa-2af238e0b507;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;46562ec1-566f-4da0-83f8-fa8ff112eb07;恩典無限供應;第五節讓我心跳加速！;看到了一個勇敢的人面對困難;COMMAND;原來神的心意是這樣的;根據 Google 搜尋，這段經文的歷史背景是...;實踐一次服務他人的行動;今天的查經讓我很感動，想為家人禱告;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
c4499f25-e0d0-427f-a642-cffabe8f8f64;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;e7e0cc71-72a2-4ef1-a6ea-885fbead1dfa;愛的冒險旅程;第五節讓我心跳加速！;發現神的信實貫穿整個故事;GOD_ATTRIBUTE;跟我以前理解的完全不同;注釋書提到當時的文化背景...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
e0263c03-55ec-42f0-aaf5-df57ef375273;c76fe9c9-f2c1-445c-abc2-fe9bede2c2a1;e25e340d-0b36-4052-a0d3-12c427128d81;勇氣的代價;第五節讓我心跳加速！;注意到人物的轉變過程很戲劇化;;;;;;2026-01-27 16:43:16.031481+00;2026-01-27 16:43:29.634172+00
b56c0c86-6a17-4d39-97f7-365763739376;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;c5d4ceef-3ea8-4c8b-bcba-45b5773519a8;逆轉勝的故事;這句話深深觸動我的心;注意到人物的轉變過程很戲劇化;COMMAND;原來神的心意是這樣的;根據 Google 搜尋，這段經文的歷史背景是...;;;2026-01-27 15:28:14.379399+00;2026-01-27 15:28:53.703465+00
8e242173-3626-470d-9b38-a1d83a147c5b;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;647178ae-6bdc-4bec-826c-7ce6975f303f;勇氣的代價;這是我今年最需要的提醒;發現神的信實貫穿整個故事;WARNING;跟我以前理解的完全不同;學者們對這段經文有不同的解讀...;;;2026-01-27 15:28:27.530229+00;2026-01-27 15:29:03.363308+00
1a1cab0e-00e2-4ff1-af7f-1d93ea4927ec;126aa9d7-3a21-441a-bf51-0c97f6cf96ce;e8cba836-6add-45cc-aef4-7924939ab9b7;恩典無限供應;第五節讓我心跳加速！;看到群眾的反應和耶穌形成對比;;;;;;2026-01-27 15:28:27.530229+00;2026-01-27 15:29:03.363308+00
